id,type,from,to,amount,timestamp
274357,fee,ZignalyX120,Zignaly678d4,3065.920854,2025-01-25 8:42:00
274358,loss,ZignalyX120,Zignaly678d4,273.461974,2025-01-26 8:42:00
274359,profit,,ZignalyX120,2473.836192,2025-01-27 8:42:00
274360,deposit,,ZignalyX120,2248.541933,2025-01-28 8:42:00
274361,deposit,,ZignalyX120,4878.462957,2025-01-29 8:42:00
274362,withdrawal,ZignalyX120,Zignaly678d4,1467.275087,2025-01-30 8:42:00
274363,deposit,,ZignalyX120,2604.213167,2025-01-31 8:42:00
274364,deposit,,ZignalyX120,538.546472,2025-02-01 8:42:00
274365,fee,ZignalyX120,Zignaly678d4,4335.833191,2025-02-02 8:42:00
274366,profit,,ZignalyX120,550.106898,2025-02-03 8:42:00
274367,loss,ZignalyX120,Zignaly678d4,4975.352415,2025-02-04 8:42:00
274368,loss,ZignalyX120,Zignaly678d4,4061.691785,2025-02-05 8:42:00
274369,fee,ZignalyX120,Zignaly678d4,1648.748359,2025-02-06 8:42:00
274370,profit,,ZignalyX120,250.176816,2025-02-07 8:42:00
274371,profit,,ZignalyX120,1137.078453,2025-02-08 8:42:00
274372,fee,ZignalyX120,Zignaly678d4,2961.166448,2025-02-09 8:42:00
274373,withdrawal,ZignalyX120,Zignaly678d4,1218.615515,2025-02-10 8:42:00
274374,profit,,ZignalyX120,4689.932186,2025-02-11 8:42:00
274375,profit,,ZignalyX120,3469.297245,2025-02-12 8:42:00
274376,deposit,,ZignalyX120,3532.711214,2025-02-13 8:42:00
